SC_CODE	SC_NAME	SC_GROUP	SC_TYPE	OPEN	HIGH	LOW	CLOSE	LAST	PREVCLOSE	NO_TRADES	NO_OF_SHRS	NET_TURNOV	TDCLOINDI
500411	THERMAX     	A 	Q	703	708.9	700.05	703.85	706.5	711.75	103	810	569675	
500412	THIRUMALAI  	B 	Q	104.1	106	104	104.55	104.55	104.4	100	2302	241934	
500413	THOMAS COOK 	B 	Q	84.8	86	84.35	84.7	84.7	84.45	462	14309	1215116	
500414	TIMEX GROUP 	B 	Q	11.05	11.7	10.7	11.59	11.59	11.03	276	58969	667767	
500418	TOKYO PLAST 	B 	Q	16.2	17	16.2	16.95	16.95	16.27	10	3000	50163	
500420	TORRENT PHAR	B 	Q	475	478	468.05	469.9	469.9	474.05	721	13377	6330514	
500422	TRANSCHEM   	B 	Q	23.25	23.25	21.4	21.45	21.45	22.5	9	4225	92316	
500425	AMBUJA CEME 	A 	Q	183.1	184.5	182.2	183.7	183.95	182.75	432	33749	6188731	
500429	UNIPHOS ENT.	B 	Q	19.5	20	19.5	20	20	19.3	12	4674	92725	
500440	HINDALCO    	A 	Q	122.6	123.65	121.55	122	122	122.5	3703	435905	53438152	
500444	WEST COAST  	B 	Q	48.85	51.3	48.7	50.3	50.3	48.85	2068	153182	7689957	
500449	HIND.ORG.CHM	T 	Q	11.8	11.8	11.32	11.6	11.6	11.8	47	8678	100611	
500456	PAS.ACRYLON 	B 	Q	4.14	4.14	4.14	4.14	4.14	4.35	9	5500	22770	
500458	PHIL CORPN. 	T 	Q	3.38	3.38	3.38	3.38	3.38	3.38	1	500	1690	
500459	PROCTER &GAM	B 	Q	3050	3060	3020	3033.35	3020	3038.95	97	174	528860	
500460	MUKAND LTD. 	B 	Q	25	25.75	25	25.5	25.4	24.85	161	4134	105536	
500463	AGCNET      	B 	Q	68.7	70	66.95	68.7	68.7	68.25	211	1438	99139	
500464	UCAL FUEL   	T 	Q	51.4	51.4	49.6	50.2	50.2	49.9	10	470	23628	
500465	VARUN SHIP. 	B 	Q	9.6	9.66	9.12	9.61	9.61	9.48	308	34303	325053	
500467	HARR.MALAYAL	B 	Q	52.3	52.5	50.65	51.25	50.7	50.55	250	13450	691939	
500469	FEDERAL BANK	A 	Q	84.6	87.2	84.2	86.55	86.55	84.1	3333	458288	39283481	
500470	TATA STEEL  	A 	Q	425	426.85	423.7	425.05	425.05	423.45	4728	252640	107395217	
500472	SKF INDIA   	B 	Q	659.1	673.95	659.1	668.4	670	666.5	128	1793	1194769	
500477	ASHOK LEYL. 	A 	Q	17.4	17.4	17.15	17.2	17.2	17.2	745	337418	5814699	
500480	CUMMINS (I) 	A 	Q	479	479	470.05	472.45	472.45	479.7	465	7035	3338046	
500483	TATA COMM   	A 	Q	311	313.65	306.05	309.5	309.5	309.05	4498	173133	53774547	
500488	ABBOTT (I)  	B 	Q	1668.55	1685	1660	1664.5	1664.5	1688.75	95	286	477630	
500490	BAJ HOLD INV	A 	Q	885.05	907.9	885	895	895	889.6	349	1537	1383669	
500493	BHARAT FORGE	A 	Q	328	333.3	328	328.35	328.35	328.5	1026	30208	9971522	
500495	ESCORTS LTD.	B 	Q	137.95	139.3	136	137	137	137.7	4004	249285	34311200	
500500	HIND.MOTORS 	B 	Q	8.52	8.6	8.36	8.42	8.42	8.52	548	168979	1431758	
500510	LARSEN & TOU	A 	Q	1075	1079.5	1066.9	1068.9	1068.9	1069.9	2963	55629	59625420	
500520	MAH & MAH   	A 	Q	945	952.2	943.15	947.6	947.6	943.5	1995	81540	77299677	
500530	BOSCH LTD   	A 	Q	10102	10349	9970	9999.45	10034	10086.95	2309	4498	45591543	
500540	PREMIER LTD 	B 	Q	58	60.35	56.6	58.85	58.85	57.9	409	8014	473744	
500547	BHARAT PET. 	A 	Q	349.5	352.35	346.5	349.6	349.6	347.7	1207	40939	14328592	
500550	SIEMENS LTD.	A 	Q	664	671.8	660	663.9	663.9	663.7	990	16277	10842132	
500570	TATA MOTORS 	A 	Q	378.1	378.7	374	374.9	374.9	376.4	3222	178045	67069443	
500575	VOLTAS LTD  	B 	Q	116.5	118.85	116.3	117.8	117.8	115.8	1928	163009	19232616	
500620	GREAT EASTE*	B 	Q	317.35	324	317.35	319.1	319.1	318.25	571	12725	4083154	
500630	ESSAR SHIP. 	B 	Q	62	62.85	61	61.25	61	61.75	204	7224	448470	
500645	DEEPAK FERT.	B 	Q	104.05	106.05	103.8	105.5	106	103.85	802	30232	3192862	
500650	EXCEL INDUST	B 	Q	78	78.9	74.1	75.5	75.5	77	18	2921	218784	
500655	GARWARE POLY	B 	Q	69.5	71.9	68.55	70.75	71.9	69.5	45	1417	98739	
500660	GLAXOSMITH  	A 	Q	3004	3004	2988	2990.95	2990.95	2992.6	411	6268	18759322	
500670	GUJ.NARMADA 	B 	Q	76.3	78.95	76.3	76.75	76.75	76	1251	59736	4635982	
500672	NOVARTIS    	B 	Q	463.5	468	461.15	462.7	462.7	463.75	492	6199	2872780	
500674	SANOFI      	B 	Q	2769.9	2898.1	2769.9	2866.6	2866.6	2762.5	263	1131	3183461	
500676	GLAXOSMITHKL	A 	Q	4444	4449.45	4400.35	4420.35	4413.1	4433.35	113	221	976592	
500680	PFIZER LTD. 	B 	Q	1160	1169.75	1151	1161.35	1161.35	1151.5	568	5478	6367080	
500690	GUJ.ST.FERT 	B 	Q	54.4	55.05	54.2	54.9	54.9	53.95	1179	20097	1101581	
500696	HIND UNI LT 	A 	Q	570	574.1	565	571.8	571.8	570.95	1078	28297	16182568	
500710	AKZOINDIA   	B 	Q	865	878	862.9	866.75	866.75	859.3	262	1508	1312147	
500730	NOCIL LTD   	B 	Q	14.8	15.17	14.8	15.04	15.04	14.91	446	82839	1245938	
500770	TATA CHEM.  	A 	Q	275.35	279	274.8	276.55	276.55	274.9	1671	45076	12498657	
500777	T.P.L.      	B 	Q	8.15	8.35	8	8.35	8.35	8.07	80	8167	66266	
500780	ZUARIGLOB   	B 	Q	74.25	79.95	73.35	75.6	75.6	73.4	2832	93543	7252762	
500790	NESTLE (I)  	A 	Q	5310.15	5337.45	5301	5310.5	5310.5	5297.25	617	1622	8626394	
500800	TATAGLOBAL  	A 	Q	161	162.65	159.95	160.25	160.25	160.3	4420	364079	58595161	
